X;Y;0;OrientX;OrientY;OrientZ
216.451416;176.091599;-116.572;-99999.000000;-99999.000000;-99999.000000
195.983551;225.922089;-146.901;-99999.000000;-99999.000000;-99999.000000
17.988695;67.946465;-134.056;-99999.000000;-99999.000000;-99999.000000
143.973267;27.873411;-161.92;-99999.000000;-99999.000000;-99999.000000
141.946213;157.745224;-156.902;-99999.000000;-99999.000000;-99999.000000
87.943558;15.732658;-102.707;-99999.000000;-99999.000000;-99999.000000
183.996948;66.059166;-128.001;-0.830942;0.487172;0.268700
232.000000;0.000000;-154.943;-99999.000000;-99999.000000;-99999.000000
292.000000;24.000000;-155.217;-99999.000000;-99999.000000;-99999.000000
258.000000;56.000000;-115.989;-99999.000000;-99999.000000;-99999.000000
222.000000;47.034977;-126;-0.372990;0.791550;0.484074
206.000000;48.262230;-120;-99999.000000;-99999.000000;-99999.000000
105.933189;84.725967;-108.023;-99999.000000;-99999.000000;-99999.000000
25.997921;149.990158;-160.843;-99999.000000;-99999.000000;-99999.000000
102.859100;127.661087;-110.025;-99999.000000;-99999.000000;-99999.000000
295.418121;88.000000;-146;-99999.000000;-99999.000000;-99999.000000
217.992355;295.963776;-150.551;-99999.000000;-99999.000000;-99999.000000
278.000000;310.000000;-148.564;0.004398;0.097342;0.995241
135.417358;61.779537;-116.016;-99999.000000;-99999.000000;-99999.000000
39.989258;149.949112;-158.681;-99999.000000;-99999.000000;-99999.000000
191.999252;93.996513;-103.454;-99999.000000;-99999.000000;-99999.000000
117.932671;49.207203;-142.024;-99999.000000;-99999.000000;-99999.000000
152.018570;87.858360;-106.011;-99999.000000;-99999.000000;-99999.000000
234.000015;60.000000;-117.291;-0.288197;0.625587;-0.724972
93.928154;2.548177;-158.025;-99999.000000;-99999.000000;-99999.000000
96.909615;155.787079;-86.0158;0.928324;0.324636;0.181180
276.177917;80.000000;-130;-99999.000000;-99999.000000;-99999.000000
35.966408;5.840896;-173.186;-99999.000000;-99999.000000;-99999.000000
227.594055;50.000000;-124;-99999.000000;-99999.000000;-99999.000000
202.535370;40.000000;-92;-99999.000000;-99999.000000;-99999.000000
278.000000;80.000000;-156.53;-99999.000000;-99999.000000;-99999.000000
205.999146;159.995972;-100.306;-99999.000000;-99999.000000;-99999.000000
296.000000;176.000000;-158.39;-99999.000000;-99999.000000;-99999.000000
65.935555;22.307667;-162.023;-99999.000000;-99999.000000;-99999.000000
41.965008;45.834259;-164.333;-99999.000000;-99999.000000;-99999.000000
258.000000;32.000000;-157.987;0.284957;-0.121863;0.950762
181.932327;371.679443;-98.6408;-99999.000000;-99999.000000;-99999.000000
65.934433;25.689468;-118.7;-99999.000000;-99999.000000;-99999.000000
35.988392;123.945030;-161.562;-99999.000000;-99999.000000;-99999.000000
259.589905;52.000000;-124;0.908482;-0.416672;0.032336
183.776703;55.990280;-146.001;-99999.000000;-99999.000000;-99999.000000
159.989456;15.950037;-157.059;-99999.000000;-99999.000000;-99999.000000
45.957462;29.798527;-165.832;-0.220671;-0.256590;0.940992
53.984322;164.743240;-92.0055;-99999.000000;-99999.000000;-99999.000000
97.928810;86.957237;-112.025;-99999.000000;-99999.000000;-99999.000000
45.987171;167.939240;-102.306;-99999.000000;-99999.000000;-99999.000000
143.966049;91.731422;-168.012;-99999.000000;-99999.000000;-99999.000000
73.949509;169.645493;-132.018;-99999.000000;-99999.000000;-99999.000000
19.063925;204.000000;-114;-99999.000000;-99999.000000;-99999.000000
55.946835;33.748192;-163.199;-99999.000000;-99999.000000;-99999.000000
133.933502;189.685013;-150.949;-0.086184;-0.045358;0.995246
192.617538;16.000000;-144;-99999.000000;-99999.000000;-99999.000000
50.970470;11.734254;-160.02;-99999.000000;-99999.000000;-99999.000000
149.958588;97.609322;-120.015;-99999.000000;-99999.000000;-99999.000000
7.991512;1.959800;-174.961;-99999.000000;-99999.000000;-99999.000000
204.000000;111.999977;-151.55;-99999.000000;-99999.000000;-99999.000000
274.000000;320.000000;-150.799;-0.035780;0.142692;0.989120
288.000000;340.000000;-166.067;-99999.000000;-99999.000000;-99999.000000
220.000000;14.547661;-96;-0.280398;-0.933689;0.222716
169.692673;179.849304;-154.011;-99999.000000;-99999.000000;-99999.000000
47.167294;13.740329;-154.019;-99999.000000;-99999.000000;-99999.000000
109.942657;48.187515;-168.02;-99999.000000;-99999.000000;-99999.000000
298.000000;101.672127;-118;-99999.000000;-99999.000000;-99999.000000
296.000000;52.000000;-152.003;-0.027757;0.011367;0.999550
286.000000;168.000000;-145.123;-99999.000000;-99999.000000;-99999.000000
231.940353;18.000000;-132;-99999.000000;-99999.000000;-99999.000000
240.000000;26.068350;-158;-99999.000000;-99999.000000;-99999.000000
67.700737;37.674107;-124.024;-0.699280;-0.170749;-0.694155
184.167587;105.967506;-114.002;-99999.000000;-99999.000000;-99999.000000
286.139404;186.000000;-148;0.151405;0.128010;-0.980148
168.028397;227.705505;-146.231;-99999.000000;-99999.000000;-99999.000000
245.984573;185.396576;-131.965;-99999.000000;-99999.000000;-99999.000000
292.205048;94.000000;-120;-99999.000000;-99999.000000;-99999.000000
53.960629;114.597755;-142.014;-0.520646;-0.621436;0.585445
57.966934;159.028671;-122.012;-99999.000000;-99999.000000;-99999.000000
177.987335;125.940025;-103.483;-99999.000000;-99999.000000;-99999.000000
137.954910;381.786469;-153.035;-99999.000000;-99999.000000;-99999.000000
131.823898;145.656479;-124.025;-99999.000000;-99999.000000;-99999.000000
53.971924;135.867035;-106.425;-0.451806;-0.154228;0.878684
284.000000;380.000000;-154.715;-99999.000000;-99999.000000;-99999.000000
216.000000;56.000000;-122.044;-99999.000000;-99999.000000;-99999.000000
58.794800;61.728256;-148.02;-99999.000000;-99999.000000;-99999.000000
179.370773;103.949242;-146.004;-99999.000000;-99999.000000;-99999.000000
153.970367;83.195580;-112.01;-99999.000000;-99999.000000;-99999.000000
220.984680;128.357697;-122.262;-99999.000000;-99999.000000;-99999.000000
109.942604;23.449234;-166.02;-99999.000000;-99999.000000;-99999.000000
284.000000;87.031967;-144;-99999.000000;-99999.000000;-99999.000000
169.978607;127.898666;-105.769;-99999.000000;-99999.000000;-99999.000000
284.000000;396.000000;-159.263;-99999.000000;-99999.000000;-99999.000000
188.839722;293.808563;-140.014;0.236698;-0.954545;0.181156
171.971008;148.913055;-120.01;-99999.000000;-99999.000000;-99999.000000
113.948013;57.753780;-100.927;0.176979;-0.519555;0.835907
230.000000;12.407278;-102;-99999.000000;-99999.000000;-99999.000000
133.934143;197.688049;-151.9;-0.007786;0.264209;0.964434
208.894287;24.000000;-116;-99999.000000;-99999.000000;-99999.000000
169.994080;31.971977;-154.837;-99999.000000;-99999.000000;-99999.000000
45.970448;87.860023;-161.665;-99999.000000;-99999.000000;-99999.000000
32.739956;1.796276;-148.015;-99999.000000;-99999.000000;-99999.000000
288.000000;68.000000;-152.995;-99999.000000;-99999.000000;-99999.000000
67.946579;123.731316;-122.019;-99999.000000;-99999.000000;-99999.000000
149.963745;101.009689;-158.013;-99999.000000;-99999.000000;-99999.000000
186.445007;63.993435;-118;-99999.000000;-99999.000000;-99999.000000
187.953690;307.780670;-98.56;-99999.000000;-99999.000000;-99999.000000
222.000000;11.223932;-130;0.247686;-0.961744;0.117051
236.000000;36.000000;-117.223;-99999.000000;-99999.000000;-99999.000000
252.000000;29.730774;-148;0.322948;-0.883901;-0.338266
19.990532;61.703445;-166.003;-0.000491;0.116692;0.993168
259.519043;340.000000;-108;-99999.000000;-99999.000000;-99999.000000
31.972775;19.871052;-171.318;-99999.000000;-99999.000000;-99999.000000
232.000000;76.000000;-114.859;-99999.000000;-99999.000000;-99999.000000
67.099014;55.673676;-138.024;-99999.000000;-99999.000000;-99999.000000
234.000015;100.626045;-126;-0.113096;0.981081;0.157125
