X;Y;Z;Strati;PART_ID
6.182864;0.108160;1.71132;1.900000;1
6.313992;-0.006166;1.80967;1.900000;1
6.364257;-0.092770;1.93642;1.900000;1
6.369072;-0.260921;2.01821;1.900000;1
6.373887;-0.429071;2.09999;1.900000;1
6.357701;-0.363041;2.27517;1.900000;1
6.356335;-0.216745;2.42515;1.900000;1
6.354660;-0.373121;2.56824;1.900000;1
6.355515;-0.247086;2.70571;1.900000;1
6.356786;-0.063000;2.84556;1.900000;1
6.361635;-0.309072;2.99609;1.900000;1
6.365561;-0.102825;3.07838;1.900000;1
6.369487;0.103421;3.16067;1.900000;1
6.378291;0.043579;3.32155;1.900000;1
6.385675;0.275835;3.47252;1.900000;1
6.391170;0.033872;3.59996;1.900000;1
6.399675;0.002934;3.73359;1.900000;1
6.406692;0.191896;3.81919;1.900000;1
6.413708;0.380858;3.9048;1.900000;1
6.455807;0.445179;3.96093;1.900000;1
6.496393;0.271318;4.00594;1.900000;1
6.536980;0.097458;4.05095;1.900000;1
6.588665;-0.145098;4.08983;1.900000;1
6.640351;-0.387653;4.12871;1.900000;1
6.751473;-0.325853;4.18716;1.900000;1
6.792797;-0.108339;4.20938;1.900000;1
6.834120;0.109174;4.2316;1.900000;1
6.875443;0.326688;4.25382;1.900000;1
3.757568;-0.046795;0.433522;1.900000;2
3.657639;0.142728;0.476348;1.900000;2
3.557709;0.332251;0.519175;1.900000;2
3.483879;0.080647;0.550817;1.900000;2
3.410049;-0.170957;0.582458;1.900000;2
3.258009;-0.079819;0.647618;1.900000;2
3.183671;0.152744;0.679422;1.900000;2
3.109331;0.385307;0.711226;1.900000;2
3.042491;0.237371;0.739928;1.900000;2
2.975651;0.089435;0.768629;1.900000;2
2.911008;-0.106602;0.796555;1.900000;2
2.846365;-0.302639;0.82448;1.900000;2
2.806976;-0.091239;0.842408;1.900000;2
2.767587;0.120161;0.860336;1.900000;2
2.728198;0.331561;0.878263;1.900000;2
2.603308;0.293911;0.929977;1.900000;2
2.529357;0.120161;0.956868;1.900000;2
2.455406;-0.053590;0.98376;1.900000;2
2.374215;0.154565;1.01893;1.900000;2
2.293024;0.362720;1.05409;1.900000;2
2.241224;0.115130;1.08167;1.900000;2
2.189423;-0.132460;1.10925;1.900000;2
2.137623;-0.380050;1.13683;1.900000;2
2.084530;-0.097375;1.16855;1.900000;2
2.031436;0.185300;1.20027;1.900000;2
1.978343;0.467975;1.23199;1.900000;2
1.906072;0.189314;1.27336;1.900000;2
1.833802;-0.089347;1.31473;1.900000;2
1.773329;0.047195;1.34576;1.900000;2
1.712855;0.183737;1.37679;1.900000;2
1.588676;0.219970;1.42333;1.900000;2
1.449048;0.221769;1.47608;1.900000;2
1.282788;0.131623;1.52547;1.900000;2
1.222368;-0.077775;1.5421;1.900000;2
1.161949;-0.287173;1.55873;1.900000;2
1.101530;-0.496570;1.57537;1.900000;2
1.060780;-0.262979;1.58784;1.900000;2
1.020031;-0.029388;1.6003;1.900000;2
0.979281;0.204204;1.61277;1.900000;2
0.938531;0.437795;1.62523;1.900000;2
0.899269;0.214658;1.63814;1.900000;2
0.860006;-0.008479;1.65104;1.900000;2
0.820743;-0.231617;1.66394;1.900000;2
0.781481;-0.454754;1.67685;1.900000;2
0.718541;-0.211750;1.6968;1.900000;2
0.655602;0.031253;1.71676;1.900000;2
0.592662;0.274256;1.73672;1.900000;2
