X;Y;Z;Strati;PART_ID
8.952921;-0.084143;0.969662;3.100000;1
8.911087;-0.204162;1.15795;3.100000;1
8.871284;0.215760;1.31224;3.100000;1
8.840179;-0.014820;1.47709;3.100000;1
8.820835;-0.361594;1.66743;3.100000;1
8.830230;0.037874;1.86273;3.100000;1
8.850173;-0.004632;2.05297;3.100000;1
8.870021;-0.136862;2.22085;3.100000;1
8.879224;0.135338;2.37141;3.100000;1
8.886145;0.043938;2.51198;3.100000;1
8.886936;0.072982;2.64404;3.100000;1
8.887444;-0.472170;2.78708;3.100000;1
8.922674;0.094967;2.93364;3.100000;1
8.974874;0.485061;3.08041;3.100000;1
9.095730;-0.334421;3.23113;3.100000;1
9.221681;0.114435;3.33477;3.100000;1
9.373880;0.442169;3.39296;3.100000;1
9.529310;-0.480985;3.43718;3.100000;1
9.704527;-0.469036;3.46388;3.100000;1
9.887550;0.264053;3.50216;3.100000;1
10.088041;-0.485336;3.5359;3.100000;1
10.298906;-0.345563;3.57408;3.100000;1
10.493638;0.116862;3.60808;3.100000;1
10.675692;-0.036059;3.63775;3.100000;1
10.816257;-0.485985;3.65458;3.100000;1
10.957764;0.049856;3.64167;3.100000;1
11.155530;0.491648;3.61615;3.100000;1
11.305290;-0.486805;3.53868;3.100000;1
11.429229;-0.212490;3.41991;3.100000;1
11.542152;0.458782;3.30074;3.100000;1
11.660447;-0.493473;3.18863;3.100000;1
11.795127;-0.120453;3.08398;3.100000;1
11.934685;0.490718;3.00058;3.100000;1
12.056499;-0.036572;2.92905;3.100000;1
12.171227;0.037118;2.8626;3.100000;1
12.310781;0.286128;2.78119;3.100000;1
8.891186;0.005799;1.23509;3.100000;1
8.830507;-0.188207;1.57226;3.100000;1
8.825533;-0.161860;1.76508;3.100000;1
8.874622;-0.000762;2.29613;3.100000;1
8.887190;-0.199594;2.71556;3.100000;1
8.905059;-0.188601;2.86036;3.100000;1
8.948774;0.290014;3.00702;3.100000;1
9.015159;0.211900;3.13065;3.100000;1
9.055445;-0.061260;3.18089;3.100000;1
9.158705;-0.109993;3.28295;3.100000;1
9.297781;0.278302;3.36387;3.100000;1
9.412738;0.211381;3.40402;3.100000;1
9.451595;-0.019408;3.41507;3.100000;1
9.490453;-0.250197;3.42613;3.100000;1
9.765534;-0.224673;3.47664;3.100000;1
9.826543;0.019690;3.4894;3.100000;1
9.954381;0.014257;3.5134;3.100000;1
10.021211;-0.235540;3.52465;3.100000;1
10.396273;-0.114350;3.59108;3.100000;1
10.745975;-0.261022;3.64617;3.100000;1
10.887011;-0.218064;3.64813;3.100000;1
11.056646;0.270752;3.62891;3.100000;1
11.192970;0.247035;3.59678;3.100000;1
11.230410;0.002422;3.57741;3.100000;1
11.267850;-0.242192;3.55805;3.100000;1
11.367260;-0.349647;3.4793;3.100000;1
11.466870;0.011268;3.38019;3.100000;1
11.504511;0.235025;3.34046;3.100000;1
11.571726;0.220719;3.27271;3.100000;1
11.601299;-0.017345;3.24469;3.100000;1
11.630874;-0.255409;3.21666;3.100000;1
11.727787;-0.306963;3.13631;3.100000;1
11.841646;0.083271;3.05618;3.100000;1
11.888165;0.286994;3.02838;3.100000;1
11.995592;0.227073;2.96482;3.100000;1
13.381723;0.142776;2.55015;3.100000;2
13.445801;0.319028;2.53121;3.100000;2
13.509877;0.495280;2.51227;3.100000;2
13.655194;0.112364;2.45405;3.100000;2
13.836675;-0.206101;2.37223;3.100000;2
14.001426;-0.031085;2.29865;3.100000;2
14.160304;-0.161330;2.23158;3.100000;2
14.326871;-0.312217;2.16217;3.100000;2
14.501058;0.021128;2.09177;3.100000;2
14.679503;0.031217;2.02467;3.100000;2
14.855081;-0.298193;1.95949;3.100000;2
15.041583;0.045499;1.89566;3.100000;2
15.213623;0.372955;1.83998;3.100000;2
15.370617;-0.168081;1.78765;3.100000;2
15.551479;-0.208549;1.72736;3.100000;2
13.582536;0.303822;2.48316;3.100000;2
13.745934;-0.046869;2.41314;3.100000;2
14.413964;-0.145545;2.12697;3.100000;2
14.767292;-0.133488;1.99208;3.100000;2
14.948332;-0.126347;1.92758;3.100000;2
15.127604;0.209227;1.86782;3.100000;2
15.292120;0.102437;1.81381;3.100000;2
