,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
12,0.167731259498,-0.0449434555265,0.984807753013,786510.669,6346035.0934,355.7341948,105.0,666,9.999999999670067,Carboniferous,64.0,666,5.0,1
13,0.0587793849119,-0.11857485709,0.991203807083,790707.0128451429,6348835.633313784,161.86498457142858,154.0,14.032461561978222,7.6050813250360365,Carboniferous,67.0,49.912103944448695,12.0,1
14,0.0372745535324,0.00710682144969,0.999279791024,785990.322714,6350189.009926002,695.306224,79.0,0,2.174667998490179,Carboniferous,70.0,9999,1.0,1
15,0.150383733181,-0.0868240888325,0.984807753013,779770.21925,6350695.2842500005,427.99933674999994,120.0,666,9.999999999670067,Carboniferous,72.0,666,4.0,1
16,0.473759065024,0.0253537123245,0.880289462381,779923.2018333334,6349410.147333332,318.6523486666667,87.0,16.95804118519061,28.3226991722583,Carboniferous,74.0,41.85676023017146,6.0,1
17,0.12278780397,0.12278780397,0.984807753013,779716.0451999999,6348530.4092,231.49288900000002,45.0,666,9.999999999670067,Carboniferous,75.0,666,5.0,1
18,0.171010071664,0.030153689608,0.984807753013,779866.6746666668,6352169.492,547.4862006666667,80.0,0,9.999999999670067,Carboniferous,76.0,9999,3.0,1
19,0.352015051532,-0.12812300077,0.927183854568,780763.5298,6351797.607,544.6421634000001,110.0,666,21.999999999847052,Carboniferous,77.0,666,5.0,1
20,0.250000000001,0.433012701893,0.866025403785,782990.4732624,6351966.440186399,469.3823232,30.0,666,29.999999999885404,Carboniferous,79.0,666,5.0,1
21,0.07962833096024849,-0.17894763652848653,0.9806309562161262,783524.3663333333,6350893.060833334,368.1449198333333,156.0,1.6847290173071525,11.295233475465995,Carboniferous,80.0,666,6.0,1
22,-0.13737919047261632,0.1975792094576505,0.9706129063716279,784508.6075546667,6349952.356596666,340.4029301666667,325.0,9.938196310824289,13.924681805665085,Carboniferous,81.0,666,6.0,1
23,-0.627506871596,0.526540784519,0.573576436352,784045.8224658001,6348246.5347584,371.0439818,310.0,666,54.99999999993006,Carboniferous,83.0,666,5.0,1
24,0.556670399227,-0.321393804842,0.76604444312,784573.5538,6348245.5448,384.50486119999994,120.0,666,39.99999999991087,Carboniferous,84.0,666,5.0,1
25,-0.2980232516983314,-0.3780666894273825,0.8764974157363911,785125.1986666666,6347860.936000001,389.21770399999997,218.0,7.368984420822136,28.77730730649981,Carboniferous,85.0,666,6.0,1
26,0.257834160497,-0.0225575661121,0.96592582629,786943.936115,6348452.9389372,356.90800079999997,95.0,666,14.999999999778625,Carboniferous,86.0,666,5.0,1
27,0.620885153016,0.166365675344,0.76604444312,787188.9724000001,6349126.4302,469.192201,75.0,666,39.99999999991087,Carboniferous,87.0,666,5.0,1
28,0.816034923453,0.0713938048443,0.573576436352,787265.1394135,6349801.324687749,321.22172324999997,85.0,666,54.99999999993006,Carboniferous,88.0,666,4.0,1
29,0.409576022145,0.286788218177,0.866025403785,785899.9126676001,6347499.958196,373.6702288,55.0,666,29.999999999885404,Carboniferous,90.0,666,5.0,1
30,0.0754790873062,-0.0435778713728,0.996194698093,786169.099438,6346888.139505333,390.34397599999994,120.0,666,4.999999999342611,Carboniferous,91.0,666,3.0,1
31,0.671010071664,0.469846310394,0.573576436352,789836.0092499999,6348603.212750001,326.467253,55.0,666,54.99999999993006,Carboniferous,92.0,666,4.0,1
32,0.482962913146,0.129409522552,0.866025403785,789082.3342500001,6348910.075999999,232.7925845,75.0,666,29.999999999885404,Carboniferous,93.0,666,4.0,1
33,0.145074691278,-0.272845811335,0.951056516296,789722.15725,6349649.631874999,235.692782125,152.0,0,17.999999999814598,Carboniferous,94.0,9999,8.0,1
34,0.538985544697,-0.196174694968,0.81915204429,786461.3169784,6352661.226602001,436.94295760000006,110.0,666,34.99999999990011,Carboniferous,96.0,666,5.0,1
35,0.754406506736,-0.133022221558,0.642787609688,786254.55425,6352808.366,417.440617,100.0,666,49.99999999992521,Carboniferous,97.0,666,4.0,1
36,-0.0743550784626,-0.0188271553306,0.997054091076,786705.6339290001,6352029.433104001,228.81956666666665,256.0,666,4.3989999992530135,Carboniferous,98.0,666,3.0,1
37,0.500000000001,1.00003061617e-12,0.866025403785,786657.1989999999,6352300.033500001,365.70358350000004,90.0,666,29.999999999885404,Carboniferous,99.0,666,4.0,1
38,0.218077866931,-0.0837060172883,0.97233499712,780404.979375,6350266.56125,416.6240193750001,111.0,55.74361067470177,13.508568743235786,Carboniferous,101.0,121.63496605258456,8.0,1
39,0.297046200088,-0.085176627231,0.951056516296,780344.5419999999,6350891.8476,438.27795640000005,106.0,666,17.999999999814598,Carboniferous,102.0,666,5.0,1
40,-0.114408925067,-0.106688048614,0.987688340596,782253.795,6352873.49,547.15273,227.0,0,8.999999999633731,Carboniferous,103.0,9999,1.0,1
41,0.0877619110637,-0.343365170589,0.935092619259,781369.8099999999,6352768.1334999995,582.758602,166.0,16.275159647978217,20.75688661137514,Carboniferous,104.0,42.099882902693885,6.0,1
42,0.13279585511346106,0.4051105089891597,0.9045721288936713,787485.5661978334,6349919.156711166,279.0102223333334,18.0,0.772781031944218,25.234282469247756,Carboniferous,106.0,666,6.0,1
43,0.996194698093,1.00006099933e-12,0.0871557427487,786473.8043333334,6351071.859666667,282.6676463333333,90.0,666,84.99999999994249,Carboniferous,108.0,666,3.0,1
44,0.0298090196272,0.0818996083201,0.996194698093,786576.286,6350873.469999999,272.0929385,20.0,666,4.999999999342611,Carboniferous,109.0,666,4.0,1
45,0.415626937778,-0.415626937776,0.809016994376,789715.444797,6349425.631715,238.05581933333335,135.0,666,35.99999999990252,Carboniferous,111.0,666,3.0,1
46,-0.579227965339,-0.405579787672,0.707106781188,789694.0210545,6349391.561749,235.33294175,235.0,666,44.99999999991897,Carboniferous,114.0,666,4.0,1
47,0.0593911746149,-0.336824088832,0.939692620787,789652.8797936667,6349386.365064,232.61629700000003,170.0,666,19.999999999832475,Carboniferous,115.0,666,3.0,1
48,-0.624826837502,-0.0351568413616,0.779971422325,783211.4205648695,6349157.510333218,446.6458522608696,267.0,25.959568206269335,38.74204106826367,Carboniferous,125.0,43.36379478215709,7.0,1
49,0.012423893024,0.126666304936,0.991867578902,787737.9157385759,6351987.629711879,481.75820424242414,6.0,23.657390117974753,7.312103354243796,Liassic,5.0,62.55042713070043,33.0,1
