,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
64,-0.482962913144,-0.12940952255,0.866025403785,789588.26332,6348455.9421426,339.44866659999997,255.0,666,29.999999999885404,Liassic,44.0,666,5.0,1
65,0.433945645984,0.296995430411,0.850579150136,789637.8766666666,6352316.055,245.187829,56.0,44.87794303885954,31.725283081336833,Liassic,45.0,99.77521958757364,6.0,1
66,0.469846310394,-0.171010071662,0.866025403785,789215.7440000001,6352337.102000001,245.047332,110.0,0,29.999999999885404,Liassic,46.0,9999,1.0,1
67,-0.233498425524,-0.175953684246,0.956304755964,792292.1345,6347913.68,213.5958625,233.0,0,16.999999999804043,Liassic,48.0,9999,2.0,1
68,-0.361404069172,-0.387558415455,0.848048096157,791931.7639704,6348036.9577806,236.70313099999998,223.0,666,31.99999999989188,Liassic,49.0,666,5.0,1
69,-0.0996005029241,0.142244259724,0.984807753013,792443.5947395,6349667.9542295,291.9283015000001,325.0,0,9.999999999670067,Liassic,50.0,9999,2.0,1
70,1.00002962689e-12,-0.241921895599,0.970295726277,792146.1644492,6349975.342697401,360.4872594,180.0,666,13.99999999976317,Liassic,51.0,666,5.0,1
71,-0.499923847577,-0.00872620321764,0.866025403785,791345.1503333333,6349937.4290000005,446.841198,269.0,666,29.999999999885404,Liassic,52.0,666,3.0,1
72,0.134624437893,0.006427310266,0.990875850147,787867.120167386,6348561.451854071,427.5909847719298,87.0,9.470741794574163,7.745770100593385,Liassic,55.0,54.17009178659097,57.0,1
73,-0.57357643635,9.99894635718e-13,0.81915204429,791683.58221325,6349840.2053845,434.40173875,270.0,666,34.99999999990011,Liassic,56.0,666,4.0,1
74,-0.217286033041,0.0582216170811,0.974370064786,791681.7966553333,6350122.292304668,401.04658,285.0,666,12.999999999745299,Liassic,57.0,666,3.0,1
75,0.0478639245356,-0.271449805027,0.961261695939,783839.556,6347014.312000001,425.7540602,170.0,0,15.999999999792132,Liassic,60.0,9999,5.0,1
76,-0.251079158433,0.00629916562355,0.967946060849,786353.643125,6346038.407249999,363.46819899999997,271.0,9.46877932767602,14.546056935928691,Liassic,61.0,42.46826730114202,8.0,1
77,1e-12,0.258819045104,0.96592582629,787114.7404221665,6346938.712185501,476.729948,0.0,0,14.999999999778625,Liassic,62.0,9999,6.0,1
78,0.0745674056404,-0.0393156970889,0.996440654519,781654.323734625,6346673.54911925,219.3962745,118.0,36.54453891946041,4.835613745160752,Triassic,10.0,77.41977487498518,8.0,1
79,0.0236866914947,-0.28834185767,0.957234513461,783807.4063626003,6347372.550832439,376.59689864,175.0,6.569684426749622,16.81683849322695,Triassic,11.0,50.560804409514496,25.0,1
