X,Y,Z,azimuth,dip,polarity,G_x,G_y,G_z,formation
780291.429877,6346095.964954,-14.621493,214.046,2.663,1,-0.02601179337786995,-0.038497363466281256,0.998920086700273,Triassic
789320.195,6351896.372,261.519814,125.0,30.0,1,0.40957602214549577,-0.28678821817452305,0.8660254037854387,Triassic
789279.843,6351870.246,257.135783,110.0,20.0,1,0.32139380484426966,-0.11697777843951096,0.9396926207869084,Triassic
789344.13,6352066.706,228.741775,160.0,20.0,1,0.11697777844151103,-0.32139380484226965,0.9396926207869084,Triassic
789564.656,6352786.481,228.616239,325.0,20.0,1,-0.1961746949680112,0.2801664995942354,0.9396926207869084,Triassic
789540.581,6352682.808,233.241302,300.0,5.0,1,-0.07547908730417331,0.04357787137482909,0.9961946980927455,Triassic
786935.027,6351789.696,392.14286,110.0,20.0,1,0.32139380484426966,-0.11697777843951096,0.9396926207869084,Triassic
787182.329,6351459.789,390.094515,95.0,10.0,1,0.17298739392608944,-0.015134435900338632,0.984807753013208,Triassic
786739.392,6352602.527,473.347067,310.0,20.0,1,-0.262002630228385,0.21984631039395416,0.9396926207869084,Triassic
789742.016,6352777.893,219.86466099999998,40.0,2.0,1,0.022432964065663856,0.026734565517599965,0.9993908270200957,Triassic
789603.737,6352789.258,226.214609,40.0,2.0,1,0.022432964065663856,0.026734565517599965,0.9993908270200957,Triassic
789563.827,6352788.691,229.250819,295.0,2.0,1,-0.03162968562413651,0.014749164633036238,0.9993908270200957,Triassic
789539.001,6352681.675,233.691702,310.0,20.0,1,-0.262002630228385,0.21984631039395416,0.9396926207869084,Triassic
789608.232,6352641.549,217.767989,0.0,20.0,1,1e-12,0.3420201433266687,0.9396926207869084,Triassic
789610.183,6352560.468,211.89179199999998,240.0,20.0,1,-0.29619813272502377,-0.1710100716618345,0.9396926207869084,Triassic
789531.354,6352489.35,210.31223300000002,240.0,20.0,1,-0.29619813272502377,-0.1710100716618345,0.9396926207869084,Triassic
789468.089,6352334.012,206.97312,110.0,20.0,1,0.32139380484426966,-0.11697777843951096,0.9396926207869084,Triassic
789477.06,6352320.806,209.14056000000002,100.0,35.0,1,0.5648625214646233,-0.09960050292405118,0.8191520442899918,Triassic
789422.305,6352184.478,226.631058,165.0,22.0,1,0.0969553207980147,-0.3618421832775979,0.9271838545677874,Triassic
789435.577,6352205.777,226.178746,120.0,10.0,1,0.1503837331814353,-0.08682408883246512,0.984807753013208,Triassic
789527.981,6352277.086,239.56853999999998,110.0,20.0,1,0.32139380484426966,-0.11697777843951096,0.9396926207869084,Triassic
787968.28,6350415.18,269.35083,30.0,11.0,1,0.0954044976892724,0.16524543726767532,0.981627183448664,Triassic
787845.514,6350513.466,266.46029300000004,50.0,5.0,1,0.06676517241875071,0.05602263155222213,0.9961946980927455,Triassic
788238.162,6350134.514,257.992094,290.0,9.0,1,-0.14700031243389608,0.053503738155134116,0.9876883405961377,Triassic
788081.854,6350403.433,265.72452400000003,30.0,9.0,1,0.07821723252111543,0.1354762207532686,0.9876883405961377,Triassic
788546.263689,6350828.448187,373.67353199999997,312.0,35.0,1,-0.42625036068904404,0.3837975486497282,0.8191520442899918,Triassic
788582.85,6350841.552,376.884114,312.0,35.0,1,-0.42625036068904404,0.3837975486497282,0.8191520442899918,Triassic
789376.056366,6350250.326511,287.037213,335.0,20.0,1,-0.14454395845159893,0.30997551922044464,0.9396926207869084,Triassic
789629.768,6350185.845,298.700173,75.0,15.0,1,0.250000000001,0.06698729810878067,0.9659258262900683,Triassic
789673.4663869999,6350204.984449,303.930714,0.0,18.0,1,1e-12,0.3090169943759474,0.9510565162961535,Triassic
789852.24,6350252.402,315.37311,205.0,80.0,1,-0.41619774072578325,-0.8925389352880301,0.17364817766793042,Triassic
789853.242851,6350173.24371,295.657377,85.0,25.0,1,0.42101007166383436,0.03683360850173485,0.9063077870376499,Triassic
789832.141957,6350201.661993,300.697748,50.0,15.0,1,0.19826689127514616,0.16636567534380192,0.9659258262900683,Triassic
789959.279,6350319.646,327.75890400000003,22.0,12.0,1,0.07788509022958319,0.19277236290290825,0.9781476007348057,Triassic
789988.447,6350356.709,334.191273,20.0,10.0,1,0.0593911746148847,0.16317591116753483,0.984807753013208,Triassic
789999.111,6350367.142,334.995812,45.0,13.0,1,0.15906441596261053,0.15906441596261053,0.9743700647862352,Triassic
789188.48,6349974.554,262.07012000000003,355.0,20.0,1,-0.02980901962520921,0.34071865342261004,0.9396926207869084,Triassic
788910.814,6350237.294,296.54983,335.0,12.0,1,-0.08786727736797115,0.18843198440509168,0.9781476007348057,Triassic
789082.794,6350275.276,294.670117,335.0,8.0,1,-0.058817094007805694,0.1261336651471452,0.9902680687425703,Triassic
789139.285,6350290.519,282.950511,240.0,10.0,1,-0.15038373317943524,-0.08682408883246524,0.984807753013208,Triassic
789306.585,6350038.447,266.66308399999997,335.0,1.0,1,-0.007375705670716947,0.015817251857638603,0.9998476951573912,Triassic
787525.123,6350278.428,252.285713,140.0,10.0,1,0.11161889704994968,-0.13302222155848897,0.984807753013208,Triassic
787550.853,6350050.491,262.851735,6.0,25.0,1,0.04417563744960226,0.4203031146846054,0.9063077870376499,Triassic
787482.3101,6349537.0098480005,331.85247200000003,113.0,20.0,1,0.3148312019107773,-0.1336379165667017,0.9396926207869084,Triassic
787435.779,6349421.131,349.874669,113.0,20.0,1,0.3148312019107773,-0.1336379165667017,0.9396926207869084,Triassic
787503.568,6349486.514,350.43075699999997,60.0,15.0,1,0.22414386804301337,0.1294095225522604,0.9659258262900683,Triassic
