,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
0,0.0820057928178,0.0321055595298,0.996114593303,782036.2258423227,6348260.067614676,326.29860964516126,69.0,5.947102521260636,5.0523867818810775,Carboniferous,15.0,40.08590489296651,30.0,1
1,0.211309130871,0.453153893519,0.866025403785,791229.8327562,6350556.5746198,386.5614356,25.0,666,29.999999999885404,Carboniferous,21.0,666,5.0,1
2,-0.180056805991,0.10395584541,0.978147600735,780210.0195,6352251.634,567.6610909999999,300.0,666,11.999999999724416,Carboniferous,30.0,666,2.0,1
3,-0.627506871596,0.526540784519,0.573576436352,784045.8224658001,6348246.5347584,371.0439818,310.0,666,54.99999999993006,Carboniferous,41.0,666,5.0,1
4,-0.541675220419,-0.454519477671,0.707106781188,784161.767,6350283.949,334.509462,230.0,0,44.99999999991897,Carboniferous,44.0,9999,1.0,1
5,-0.925416578397,-0.336824088832,0.173648177668,783553.9590903999,6351824.229745599,443.4047984,250.0,666,79.99999999994182,Carboniferous,46.0,666,5.0,1
6,0.250000000001,0.433012701893,0.866025403785,782813.400525,6352177.173227333,482.8634886666667,30.0,666,29.999999999885404,Carboniferous,48.0,666,3.0,1
7,-0.0747579770507,0.230081395246,0.970295726277,781342.5422,6350314.6698,499.7178634,342.0,666,13.99999999976317,Carboniferous,50.0,666,5.0,1
8,0.0754790873062,0.0435778713748,0.996194698093,781903.9615,6350335.712,466.08430250000004,60.0,0,4.999999999342611,Carboniferous,51.0,9999,2.0,1
9,0.150383733181,-0.0868240888325,0.984807753013,779770.21925,6350695.2842500005,427.99933674999994,120.0,666,9.999999999670067,Carboniferous,53.0,666,4.0,1
10,0.0372745535324,0.00710682144969,0.999279791024,785990.322714,6350189.009926002,695.306224,79.0,0,2.174667998490179,Carboniferous,55.0,9999,1.0,1
11,-0.163175911166,0.0593911746149,0.984807753013,787279.06649975,6349209.65309475,442.2590455,290.0,666,9.999999999670067,Carboniferous,57.0,666,4.0,1
12,0.336824088834,-0.0593911746129,0.939692620787,785338.2646,6352866.936,484.3112476,100.0,666,19.999999999832475,Carboniferous,58.0,666,5.0,1
13,0.173164821596,0.0303030790633,0.984426568091,789425.182358,6347079.380725,-931.862731,80.0,0,10.1249999996741,Carboniferous,62.0,9999,1.0,1
