X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
598.0,513.0,30.0,0.4840723254543271,0.5490871265823065,0.4944485417890655,-0.681772941125649,-0.7007110783791667,0.21021332351505,77.86514616350286,224.21517539700812,1.0,Verw1,Verw1,1,1,0
598.0,522.0,60.0,0.4840723254543271,0.5529981703268979,0.5074853542710367,-0.681772941125649,-0.7007110783791667,0.21021332351505,77.86514616350286,224.21517539700812,1.0,Verw1,Verw1,1,1,0
672.0,441.0,30.0,0.5162297962431893,0.5177987766255758,0.4944485417890655,-0.681772941125649,-0.7007110783791667,0.21021332351505,77.86514616350286,224.21517539700812,1.0,Verw1,Verw1,1,1,0
582.0,352.0,30.0,0.47711935879727585,0.47912289959572807,0.4944485417890655,-0.6831833703643388,-0.699449641087323,0.2098348923274968,77.88732330796906,224.3259631020155,1.0,Verw2,Verw2,2,2,0
582.0,361.0,60.0,0.47711935879727585,0.48303394334031946,0.5074853542710367,-0.6831833703643388,-0.699449641087323,0.2098348923274968,77.88732330796906,224.3259631020155,1.0,Verw2,Verw2,2,2,0
625.0,319.0,60.0,0.49580545668810116,0.46478240586555986,0.5074853542710367,-0.683183370364339,-0.6994496410873231,0.20983489232749594,77.8873233079691,224.3259631020155,1.0,Verw2,Verw2,2,2,0
601.2889999998733,350.0590000003576,47.14300000000003,0.4855015946627122,0.47827941782829997,0.5018982110016799,0.031863009711012,0.03257368447788279,0.9989613124109552,2.611666390547585,44.368108274631965,1.0,Quartaer,Auffuel,3,3,0
605.9550000000745,451.2609999999404,45.035000000000025,0.48752925356416216,0.5222578010548001,0.5009821576446134,0.045196416368309636,0.06263229986647642,0.997012777733118,4.429753599223996,35.814787106716594,1.0,Quartaer,Auffuel,3,3,0
610.6409999998286,552.6100000003353,41.174000000000035,0.48956560367373925,0.5663000646628148,0.4993043198781837,-0.02251563114059944,-0.04464845285508626,0.9987489985045546,2.8662352346205147,206.76121235409468,1.0,Quartaer,Auffuel,3,3,0
615.1390000004321,450.65199999976903,44.76000000000005,0.49152025642546504,0.5219931537613416,0.5008626535301953,0.022488366180154897,0.06410512413284696,0.997689734561115,3.8954014148762783,19.331100143924093,1.0,Quartaer,Auffuel,3,3,0
651.5650000004098,357.98000000044703,46.27800000000002,0.5073495541410646,0.48172157088399525,0.501522316241783,0.0461548873289625,0.03419541463420583,0.9983488368279911,3.293005095862487,53.46584729108167,1.0,Quartaer,Auffuel,3,3,0
648.8009999999776,449.5599999995902,43.97200000000004,0.5061484291508713,0.5215186137869202,0.5005202199223355,-0.0035563658835214376,0.05350951419937078,0.9985610067261523,3.0741078859823947,356.1975823279019,1.0,Quartaer,Auffuel,3,3,0
646.2330000000075,549.1040000002831,39.33499999999998,0.5050324780024275,0.5647764958440658,0.49850516327303884,-0.039560628618718015,-0.036481820879152645,0.998550966856714,3.08481586744792,227.31852595721648,1.0,Quartaer,Auffuel,3,3,0
682.7189999995753,446.7050000000745,42.87299999999999,0.5208878493428131,0.5202779437992631,0.5000426380250793,0.01687482203356535,0.018512452940992415,0.9996862155044017,1.4353728531061012,42.35039095685817,1.0,Quartaer,Auffuel,3,3,0
