X,Y,Z,dip,azimuth,polarity,formation,series,formation number,G_x,G_y,G_z
621055.2844540898,2476423.626316949,386.8181818181818,40.669425490123466,95.4151669611473,1,Unit4,Default series,1,0.6487852534278616,-0.061501544008061224,0.7584822048137779
620946.8102979548,2477202.1160493544,422.9230769230769,31.26731659543534,64.09306558179584,1,Unit4,Default series,1,0.4668714853106813,0.22677044440617597,0.854755041955076
620653.9736898174,2477876.913557432,400.82089552238807,23.68678850988128,35.63157139797815,1,Unit4,Default series,1,0.23404007764655496,0.3265234463200505,0.9157552517231182
615165.0096527787,2477880.3977083666,430.0,28.74749394589506,295.9278642828324,1,Unit4,Default series,1,-0.4325404748648975,0.2102903836317474,0.8767477927863072
615490.5749752558,2478291.2900974248,435.0,28.59382862959295,295.54250988174886,1,Unit4,Default series,1,-0.4318218796191436,0.20636188451658477,0.8780345305857586
614562.7056473375,2476465.710466975,482.6,44.203331459035255,294.1628197966364,1,Unit4,Default series,1,-0.6361216622893063,0.28538839107083486,0.7168700698231792
614128.7587023419,2475672.015416412,475.375,34.435456822092796,301.8673283383622,1,Unit4,Default series,1,-0.4802447109522825,0.29854619168039853,0.8247637170944715
618954.1851155454,2474839.736218703,365.8333333333333,23.87134392830522,133.68626114842635,1,Unit4,Default series,1,0.29264047167841634,-0.27951908642497164,0.9144564695271084
619535.6258783913,2476015.9594154265,491.125,18.457026381275107,104.8809624546579,1,Unit4,Default series,1,0.30597521899450625,-0.08130485698753703,0.9485613768183375
616406.8873771703,2478867.003830984,431.0,26.92395419972247,347.39054976815896,1,Unit4,Default series,1,-0.09884978344304697,0.4418861430109199,0.8916082979247084
616103.8568280946,2477443.783441374,625.3333333333334,30.349005233670084,306.49349066904625,1,Unit4,Default series,1,-0.4061956050555011,0.3004975272536453,0.862963711026159
617537.9924791129,2479067.7134838323,461.875,34.497183944289915,349.8836303775841,1,Unit4,Default series,1,-0.0994810052039804,0.5575604637505955,0.8241540261782542
619683.5500250468,2478926.2975528035,469.375,65.8011800618496,43.52247494582816,1,Unit4,Default series,1,0.6281273527305121,0.6613883400992805,0.4099042477609588
620183.9774494692,2478371.5017117197,467.9,40.755716548008756,53.59227014286685,1,Unit4,Default series,1,0.5254108404423056,0.3874757041680522,0.7574998530859146
617105.5879850759,2475285.185906659,602.0,32.487338204626155,148.73853702354657,1,Unit4,Default series,1,0.2787318340333947,-0.4591287068972843,0.8435101630681208
618645.5926161206,2476286.552870217,575.7142857142857,19.157719542141162,117.21501988510673,1,Unit4,Default series,1,0.2918401447516591,-0.15008218616119368,0.9446187947041957
