X,Y,Z,azimuth,dip,polarity,G_x,G_y,G_z,formation,uncertainty
780291.429877,6346095.964954,-14.621493,214.046,2.6630000000000003,1,-0.02601179337786995,-0.038497363466281256,0.998920086700273,Triassic,a
789320.195,6351896.372,261.519814,125.0,30.0,1,0.40957602214549577,-0.28678821817452305,0.8660254037854387,Triassic,a
789279.843,6351870.246,257.135783,110.0,20.0,1,0.3213938048442697,-0.11697777843951095,0.9396926207869084,Triassic,a
789344.13,6352066.706,228.741775,160.0,20.0,1,0.11697777844151105,-0.32139380484226965,0.9396926207869084,Triassic,a
789564.656,6352786.481000001,228.616239,325.0,20.0,1,-0.1961746949680112,0.2801664995942354,0.9396926207869084,Triassic,a
789540.5809999999,6352682.807999999,233.241302,300.0,5.0,1,-0.07547908730417331,0.04357787137482909,0.9961946980927456,Triassic,a
786935.027,6351789.696,392.14286,110.0,20.0,1,0.3213938048442697,-0.11697777843951095,0.9396926207869084,Triassic,a
787182.329,6351459.789,390.094515,95.0,10.0,1,0.17298739392608944,-0.015134435900338632,0.9848077530132081,Triassic,a
786739.392,6352602.527000001,473.347067,310.0,20.0,1,-0.262002630228385,0.21984631039395414,0.9396926207869084,Triassic,a
789742.016,6352777.892999999,219.864661,40.0,2.0,1,0.022432964065663856,0.02673456551759996,0.9993908270200956,Triassic,a
789603.7370000001,6352789.257999999,226.214609,40.0,2.0,1,0.022432964065663856,0.02673456551759996,0.9993908270200956,Triassic,a
789563.827,6352788.691000001,229.250819,295.0,2.0,1,-0.03162968562413651,0.014749164633036237,0.9993908270200956,Triassic,a
789539.0009999999,6352681.675,233.691702,310.0,20.0,1,-0.262002630228385,0.21984631039395414,0.9396926207869084,Triassic,a
789608.2320000001,6352641.549,217.767989,0.0,20.0,1,1e-12,0.3420201433266687,0.9396926207869084,Triassic,a
789610.183,6352560.467999999,211.891792,240.0,20.0,1,-0.29619813272502377,-0.1710100716618345,0.9396926207869084,Triassic,a
789531.354,6352489.35,210.312233,240.0,20.0,1,-0.29619813272502377,-0.1710100716618345,0.9396926207869084,Triassic,a
789468.089,6352334.012,206.97312,110.0,20.0,1,0.3213938048442697,-0.11697777843951095,0.9396926207869084,Triassic,a
789477.06,6352320.806,209.14056,100.0,35.0,1,0.5648625214646233,-0.09960050292405118,0.8191520442899918,Triassic,a
789422.305,6352184.477999999,226.631058,165.0,22.0,1,0.0969553207980147,-0.3618421832775979,0.9271838545677874,Triassic,a
789435.577,6352205.777000001,226.178746,120.0,10.0,1,0.1503837331814353,-0.08682408883246512,0.9848077530132081,Triassic,a
789527.9809999999,6352277.086,239.56854,110.0,20.0,1,0.3213938048442697,-0.11697777843951095,0.9396926207869084,Triassic,a
787968.28,6350415.18,269.35083,30.0,11.0,1,0.0954044976892724,0.16524543726767532,0.9816271834486641,Triassic,a
787845.5140000001,6350513.466,266.46029300000004,50.0,5.0,1,0.06676517241875071,0.05602263155222213,0.9961946980927456,Triassic,a
788238.162,6350134.5139999995,257.992094,290.0,9.0,1,-0.14700031243389608,0.053503738155134116,0.9876883405961376,Triassic,a
788081.854,6350403.432999999,265.72452400000003,30.0,9.0,1,0.07821723252111543,0.1354762207532686,0.9876883405961376,Triassic,a
788546.263689,6350828.448187,373.673532,312.0,35.0,1,-0.426250360689044,0.3837975486497282,0.8191520442899918,Triassic,a
788582.85,6350841.552,376.884114,312.0,35.0,1,-0.426250360689044,0.3837975486497282,0.8191520442899918,Triassic,a
789376.056366,6350250.326511,287.037213,335.0,20.0,1,-0.14454395845159893,0.30997551922044464,0.9396926207869084,Triassic,a
789629.7679999999,6350185.845,298.700173,75.0,15.0,1,0.25000000000100003,0.06698729810878068,0.9659258262900684,Triassic,a
789673.4663869998,6350204.984449,303.930714,0.0,18.0,1,1e-12,0.3090169943759474,0.9510565162961536,Triassic,a
789852.24,6350252.402000001,315.37311,205.0,80.0,1,-0.4161977407257833,-0.8925389352880301,0.17364817766793042,Triassic,a
789853.242851,6350173.24371,295.657377,85.0,25.0,1,0.4210100716638344,0.03683360850173485,0.90630778703765,Triassic,a
789832.141957,6350201.661993,300.697748,50.0,15.0,1,0.19826689127514616,0.16636567534380192,0.9659258262900684,Triassic,a
789959.2790000001,6350319.646000001,327.7589040000001,22.0,12.0,1,0.07788509022958319,0.19277236290290825,0.9781476007348056,Triassic,a
789988.447,6350356.709,334.191273,20.0,10.0,1,0.0593911746148847,0.16317591116753485,0.9848077530132081,Triassic,a
789999.1109999999,6350367.142000001,334.995812,45.0,13.0,1,0.15906441596261053,0.15906441596261053,0.9743700647862352,Triassic,a
789188.48,6349974.554,262.07012000000003,355.0,20.0,1,-0.029809019625209213,0.34071865342261004,0.9396926207869084,Triassic,a
788910.814,6350237.294,296.54983,335.0,12.0,1,-0.08786727736797115,0.18843198440509168,0.9781476007348056,Triassic,a
789082.7940000001,6350275.276000001,294.670117,335.0,8.0,1,-0.0588170940078057,0.1261336651471452,0.9902680687425705,Triassic,a
789139.285,6350290.518999999,282.950511,240.0,10.0,1,-0.15038373317943526,-0.08682408883246524,0.9848077530132081,Triassic,a
789306.585,6350038.447000001,266.663084,335.0,1.0,1,-0.007375705670716947,0.015817251857638603,0.9998476951573912,Triassic,a
787525.123,6350278.427999999,252.285713,140.0,10.0,1,0.11161889704994968,-0.13302222155848895,0.9848077530132081,Triassic,a
787550.853,6350050.491,262.851735,6.0,25.0,1,0.04417563744960226,0.4203031146846054,0.90630778703765,Triassic,a
787482.3101,6349537.009848001,331.8524720000001,113.0,20.0,1,0.3148312019107773,-0.1336379165667017,0.9396926207869084,Triassic,a
787435.7790000001,6349421.131,349.874669,113.0,20.0,1,0.3148312019107773,-0.1336379165667017,0.9396926207869084,Triassic,a
787503.568,6349486.5139999995,350.430757,60.0,15.0,1,0.22414386804301334,0.1294095225522604,0.9659258262900684,Triassic,a
788668.132,6350456.094,307.509077,290.0,20.0,1,-0.32139380484226965,0.11697777844151107,0.9396926207869084,Triassic,a
787108.3409999999,6348433.286,359.056492,100.0,25.0,1,0.41619774072778337,-0.07338689099903822,0.90630778703765,Triassic,a
789065.0098819998,6348741.776801,240.578578,204.0,29.0,1,-0.19718983746884866,-0.4428956263964756,0.8746197071403957,Triassic,a
789095.7170000001,6348625.489,241.526347,200.0,13.0,1,-0.07693779184694899,-0.21138484580393985,0.9743700647862352,Triassic,a
789143.1540000001,6348660.602999999,240.827368,245.0,23.0,1,-0.35412266438644674,-0.16513011032911865,0.9205048534534404,Triassic,a
